Baseline Value,RMSE_1,RMSE_2,RMSE_3,Avg_RMSE
5,,4.257281,4.542019,4.39965
10,,4.341138,4.387079,4.3641085
15,,4.521054,5.154477,4.8377655
20,8.328722,4.221053,4.866548,5.805441
25,5.479504,6.136046,4.049246,5.22159866666667
30,4.709435,4.218397,4.159497,4.362443
35,4.505232,4.407867,4.07849,4.33052966666667
40,4.61946,4.326839,3.865992,4.27076366666667
45,3.249248,3.764322,3.029017,3.347529
50,2.652155,2.601442,3.115264,2.78962033333333
55,2.113441,1.911395,2.157092,2.06064266666667
60,1.909512,1.850611,1.950626,1.903583
65,2.080005,1.715639,1.857607,1.884417
70,1.286744,1.628811,1.038659,1.31807133333333
75,1.266245,1.211253,1.253027,1.24350833333333
80,1.186872,1.446677,1.660253,1.43126733333333
85,1.282994,1.508884,0.858866,1.21691466666667
90,1.598337,1.471713,1.486193,1.51874766666667
95,,1.367583,0.935313,1.151448
100,,1.509927,1.330025,1.419976
105,,1.366549,1.920542,1.6435455
110,,1.713318,1.729039,1.7211785
115,,1.774737,1.815758,1.7952475
120,,1.737492,1.622095,1.6797935
125,,1.760001,1.894393,1.827197
130,,1.970586,1.919165,1.9448755
